,First_pokemon,Second_pokemon,Winner
37457,Mega Charizard Y,Dialga,Mega Charizard Y
37458,Wobbuffet,Kakuna,Kakuna
37459,Remoraid,Mega Aerodactyl,Mega Aerodactyl
37460,Seel,Genesect,Genesect
37461,Deoxys Speed Form,Lanturn,Deoxys Speed Form
37462,White Kyurem,Reshiram,White Kyurem
37463,Pumpkaboo Large Size,Snorunt,Snorunt
37464,Silcoon,Quilava,Quilava
37465,Celebi,Meditite,Celebi
37466,Kadabra,Mega Slowbro,Mega Slowbro
37467,Remoraid,Barboach,Remoraid
37468,Parasect,Slowking,Slowking
37469,Krokorok,Frillish,Krokorok
37470,Slakoth,Fletchinder,Fletchinder
37471,Braixen,Fraxure,Braixen
37472,Wartortle,Aurorus,Aurorus
37473,Regirock,Bibarel,Bibarel
37474,Pancham,Ferrothorn,Pancham
37475,Mega Charizard X,Politoed,Mega Charizard X
37476,Klinklang,Qwilfish,Klinklang
37477,Cryogonal,Chesnaught,Cryogonal
37478,Eevee,Victini,Victini
37479,Clefable,Froslass,Froslass
37480,Hippowdon,Tornadus Incarnate Form,Tornadus Incarnate Form
37481,Seel,Drifloon,Drifloon
37482,Registeel,Lapras,Lapras
37483,Drapion,Sharpedo,Sharpedo
37484,Nidoran♀,Loudred,Loudred
37485,Typhlosion,Vespiquen,Typhlosion
37486,Mega Pidgeot,Deoxys Speed Form,Deoxys Speed Form
37487,Shinx,Nosepass,Shinx
37488,Bonsly,Electrode,Bonsly
37489,Audino,Cyndaquil,Cyndaquil
37490,Infernape,Mantine,Infernape
37491,Furfrou,Nidorino,Furfrou
37492,Exeggcute,Swampert,Swampert
37493,Ledian,Alakazam,Alakazam
37494,Spritzee,Ambipom,Ambipom
37495,Mega Abomasnow,Venonat,Venonat
37496,Growlithe,Ledyba,Growlithe
37497,Avalugg,Pupitar,Pupitar
37498,Marill,Lapras,Lapras
37499,Azelf,Dewgong,Azelf
37500,Whiscash,Pignite,Whiscash
37501,Kangaskhan,Duskull,Duskull
37502,Dusclops,Zygarde 50% Form,Zygarde 50% Form
37503,Regigigas,Xerneas,Regigigas
37504,Larvesta,Barbaracle,Barbaracle
37505,Musharna,Roselia,Roselia
37506,Kricketune,Braviary,Braviary
37507,Shedinja,Amaura,Amaura
37508,Tirtouga,Infernape,Infernape
37509,Wynaut,Shelgon,Shelgon
37510,Slowpoke,Kricketune,Kricketune
37511,Starly,Staraptor,Staraptor
37512,Vulpix,Wurmple,Vulpix
37513,Swinub,Slowpoke,Slowpoke
37514,Remoraid,Mega Heracross,Mega Heracross
37515,Uxie,Cranidos,Uxie
37516,Swadloon,Patrat,Patrat
37517,Magikarp,Spiritomb,Spiritomb
37518,Miltank,Fraxure,Miltank
37519,Mesprit,Hoothoot,Mesprit
37520,Mega Beedrill,Shedinja,Mega Beedrill
37521,Tranquill,Mega Aggron,Tranquill
37522,Gible,Rhyperior,Gible
37523,Shieldon,Pichu,Pichu
37524,Drilbur,Mega Sableye,Mega Sableye
37525,Greninja,Ho-oh,Greninja
37526,Roserade,Seviper,Roserade
37527,Zebstrika,Dialga,Zebstrika
37528,Vanillish,Lombre,Vanillish
37529,Chinchou,Mega Scizor,Mega Scizor
37530,Swablu,Fearow,Fearow
37531,Darumaka,Golem,Darumaka
37532,Inkay,Mega Swampert,Mega Swampert
37533,Bonsly,Leafeon,Leafeon
37534,Parasect,Mega Charizard X,Mega Charizard X
37535,Espeon,Magnemite,Espeon
37536,Cubchoo,Foongus,Cubchoo
37537,Munchlax,Raticate,Munchlax
37538,Garbodor,Reuniclus,Garbodor
37539,Pangoro,Larvitar,Pangoro
37540,Buneary,Magnezone,Buneary
37541,Zekrom,Wynaut,Zekrom
37542,Aerodactyl,Zweilous,Aerodactyl
37543,Boldore,Cofagrigus,Cofagrigus
37544,Silcoon,Vigoroth,Vigoroth
37545,Anorith,Zangoose,Zangoose
37546,Rayquaza,Mamoswine,Rayquaza
37547,Larvesta,Bellossom,Larvesta
37548,Latios,Ferrothorn,Latios
37549,Mega Medicham,Marill,Mega Medicham
37550,Bellossom,Probopass,Bellossom
37551,Articuno,Grimer,Articuno
37552,Groudon,Oddish,Groudon
37553,Haxorus,Darmanitan Standard Mode,Haxorus
37554,Joltik,Mr. Mime,Mr. Mime
37555,Gible,Carbink,Carbink
37556,Braixen,Kingler,Kingler
37557,Nincada,Accelgor,Accelgor
37558,Psyduck,Mega Glalie,Mega Glalie
37559,Anorith,Ponyta,Ponyta
37560,Smeargle,Magikarp,Magikarp
37561,Geodude,Bellsprout,Bellsprout
37562,Mega Sableye,Mega Tyranitar,Mega Tyranitar
37563,Butterfree,Jigglypuff,Butterfree
37564,Slurpuff,Elekid,Elekid
37565,Nuzleaf,Altaria,Altaria
37566,Scolipede,Milotic,Scolipede
37567,Probopass,Keldeo Ordinary Form,Keldeo Ordinary Form
37568,Yanmega,Dewgong,Yanmega
37569,Gourgeist Super Size,Carvanha,Carvanha
37570,Latios,Bronzor,Latios
37571,Serperior,Spiritomb,Serperior
37572,Mr. Mime,Mega Sharpedo,Mega Sharpedo
37573,Abomasnow,Palpitoad,Palpitoad
37574,Raichu,Riolu,Raichu
37575,Solosis,Spheal,Spheal
37576,Probopass,Pineco,Probopass
37577,Golett,Combee,Combee
37578,Lickitung,Anorith,Anorith
37579,Gastrodon,Clefable,Clefable
37580,Aromatisse,Ponyta,Ponyta
37581,Deoxys Normal Form,Azurill,Deoxys Normal Form
37582,Kingler,Lopunny,Lopunny
37583,Snivy,Chinchou,Chinchou
37584,Kyogre,Psyduck,Kyogre
37585,Diggersby,Cradily,Cradily
37586,Remoraid,Primal Kyogre,Primal Kyogre
37587,Boldore,Floette,Boldore
37588,Charmeleon,Bellossom,Charmeleon
37589,Meowth,Wormadam Plant Cloak,Meowth
37590,Blaziken,Mega Audino,Blaziken
37591,Breloom,Wooper,Breloom
37592,Gurdurr,Binacle,Binacle
37593,Drilbur,Frillish,Frillish
37594,Elekid,Shellos,Elekid
37595,Horsea,Noibat,Horsea
37596,Tranquill,Azurill,Tranquill
37597,Terrakion,Gourgeist Super Size,Terrakion
37598,Meloetta Aria Form,Tornadus Therian Form,Tornadus Therian Form
37599,Pachirisu,Drilbur,Drilbur
37600,Heracross,Dunsparce,Heracross
37601,Elekid,Swirlix,Elekid
37602,Mega Mewtwo Y,Armaldo,Mega Mewtwo Y
37603,Shellder,Breloom,Breloom
37604,Gourgeist Super Size,Snivy,Snivy
37605,Dratini,Minccino,Minccino
37606,Purugly,Tepig,Purugly
37607,Latias,Tornadus Therian Form,Tornadus Therian Form
37608,Gorebyss,Wormadam Plant Cloak,Gorebyss
37609,Unfezant,Flabébé,Unfezant
37610,Mega Lucario,Meditite,Mega Lucario
37611,Gardevoir,Nidorino,Gardevoir
37612,Shuckle,Shroomish,Shroomish
37613,Mega Latios,Mega Banette,Mega Latios
37614,Parasect,Combusken,Combusken
37615,Heatmor,Venusaur,Venusaur
37616,Relicanth,Machop,Relicanth
37617,Baltoy,Togepi,Baltoy
37618,Mewtwo,Krokorok,Mewtwo
37619,Minccino,Mamoswine,Mamoswine
37620,Hypno,Farfetch'd,Hypno
37621,Sunkern,Gabite,Gabite
37622,Jigglypuff,Wash Rotom,Wash Rotom
37623,Chimecho,White Kyurem,White Kyurem
37624,Chespin,Corsola,Chespin
37625,Masquerain,Golett,Masquerain
37626,Hoppip,Rhydon,Hoppip
37627,Blissey,Venusaur,Venusaur
37628,Granbull,Krookodile,Krookodile
37629,Pancham,Seviper,Seviper
37630,Feebas,Mega Rayquaza,Mega Rayquaza
37631,Kecleon,Gothorita,Gothorita
37632,Beheeyem,Elekid,Elekid
37633,Charmeleon,Zekrom,Zekrom
37634,Vespiquen,Machop,Vespiquen
37635,Azelf,Magcargo,Azelf
37636,Mega Absol,Fletchinder,Mega Absol
37637,Pansage,Dwebble,Pansage
37638,Cobalion,Darumaka,Cobalion
37639,Staryu,Cherrim,Cherrim
37640,Cubchoo,Joltik,Joltik
37641,Mightyena,Sunkern,Mightyena
37642,Metagross,Mandibuzz,Mandibuzz
37643,Golbat,Mega Blaziken,Mega Blaziken
37644,Tornadus Therian Form,Hawlucha,Tornadus Therian Form
37645,Mega Slowbro,Teddiursa,Teddiursa
37646,Mega Houndoom,Zubat,Mega Houndoom
37647,Joltik,Venomoth,Venomoth
37648,Sceptile,Charizard,Sceptile
37649,Mew,Tirtouga,Mew
37650,Mankey,Machop,Mankey
37651,Skiddo,Deoxys Defense Form,Deoxys Defense Form
37652,Leafeon,Xatu,Xatu
37653,Cranidos,Pachirisu,Pachirisu
37654,Snorlax,Floatzel,Floatzel
37655,Dedenne,Aggron,Dedenne
37656,Mega Tyranitar,Ledian,Ledian
37657,Kabuto,Sliggoo,Sliggoo
37658,Bisharp,Kirlia,Bisharp
37659,Darmanitan Zen Mode,Sliggoo,Sliggoo
37660,Turtwig,Smeargle,Turtwig
37661,Mega Steelix,Tyrantrum,Tyrantrum
37662,Drowzee,Tyrunt,Tyrunt
37663,Kirlia,Mega Metagross,Mega Metagross
37664,Latios,Trevenant,Latios
37665,Squirtle,Mega Scizor,Mega Scizor
37666,Noibat,Xatu,Xatu
37667,Azumarill,Raticate,Raticate
37668,Spewpa,Murkrow,Murkrow
37669,Mega Kangaskhan,Munna,Mega Kangaskhan
37670,Bellsprout,Foongus,Bellsprout
37671,Timburr,Blaziken,Blaziken
37672,Chatot,Pupitar,Chatot
37673,Drilbur,Furret,Furret
37674,Garbodor,Rampardos,Garbodor
37675,Carracosta,Tornadus Therian Form,Tornadus Therian Form
37676,Duosion,Wormadam Plant Cloak,Wormadam Plant Cloak
37677,Girafarig,Hydreigon,Hydreigon
37678,Gyarados,Hydreigon,Hydreigon
37679,Jumpluff,Gliscor,Jumpluff
37680,White Kyurem,Durant,Durant
37681,Jolteon,Genesect,Jolteon
37682,Xatu,Bronzor,Xatu
37683,Snivy,Garbodor,Garbodor
37684,Staryu,Piplup,Staryu
37685,Chesnaught,Mudkip,Chesnaught
37686,Solrock,Onix,Onix
37687,Dialga,Hippowdon,Dialga
37688,Metagross,Arceus,Arceus
37689,Spearow,Magby,Magby
37690,Alomomola,Flygon,Flygon
37691,Growlithe,Slowbro,Growlithe
37692,Mega Abomasnow,Totodile,Totodile
37693,Black Kyurem,Starmie,Starmie
37694,Kingdra,Salamence,Salamence
37695,Koffing,Snorunt,Snorunt
37696,Basculin White-Striped Form,Chimecho,Basculin White-Striped Form
37697,Heliolisk,Simipour,Heliolisk
37698,Giratina Origin Form,Gligar,Giratina Origin Form
37699,Ambipom,Mega Banette,Mega Banette
37700,Spritzee,Regirock,Regirock
37701,Slugma,Seviper,Seviper
37702,Meowth,Gourgeist Large Size,Gourgeist Large Size
37703,Elgyem,Wartortle,Wartortle
37704,Arbok,Bunnelby,Arbok
37705,Dustox,Mega Kangaskhan,Mega Kangaskhan
37706,Shelmet,Jirachi,Jirachi
37707,Shelgon,Mega Medicham,Mega Medicham
37708,Larvitar,Tyrunt,Tyrunt
37709,Granbull,Masquerain,Masquerain
37710,Dragalge,Pawniard,Pawniard
37711,Arcanine,Mega Tyranitar,Arcanine
37712,Horsea,Swablu,Horsea
37713,Seedot,Hitmontop,Hitmontop
37714,Rattata,Goldeen,Rattata
37715,Charmeleon,Kirlia,Charmeleon
37716,Hitmonlee,Houndour,Hitmonlee
37717,Purugly,Paras,Purugly
37718,Arceus,Camerupt,Arceus
37719,Vileplume,Bouffalant,Bouffalant
37720,Rapidash,Hoppip,Rapidash
37721,Eelektrik,Numel,Eelektrik
37722,Girafarig,Lugia,Lugia
37723,Swoobat,Tauros,Swoobat
37724,Silcoon,Nidorina,Nidorina
37725,Beldum,Seadra,Seadra
37726,Woobat,Xerneas,Xerneas
37727,Quagsire,Ferrothorn,Quagsire
37728,Cubone,Venipede,Venipede
37729,Blissey,Pupitar,Blissey
37730,Minun,Geodude,Geodude
37731,Ledian,Burmy Plant Cloak,Ledian
37732,Mienshao,Mega Venusaur,Mienshao
37733,Throh,Pyroar,Pyroar
37734,Karrablast,Porygon-Z,Porygon-Z
37735,Mankey,Magikarp,Magikarp
37736,Mega Medicham,Braixen,Mega Medicham
37737,Makuhita,Cleffa,Makuhita
37738,Weavile,Raticate,Weavile
37739,Ledian,Donphan,Ledian
37740,Rhydon,Floette,Floette
37741,Zangoose,Meloetta Pirouette Form,Meloetta Pirouette Form
37742,Relicanth,Espurr,Espurr
37743,Seel,Salamence,Salamence
37744,Mismagius,Gulpin,Mismagius
37745,Dragonair,Bronzor,Dragonair
37746,Elgyem,Ponyta,Ponyta
37747,Parasect,Wormadam Sandy Cloak,Wormadam Sandy Cloak
37748,Chatot,Mega Alakazam,Mega Alakazam
37749,Snorlax,Weavile,Weavile
37750,Clefable,Oddish,Clefable
37751,Hypno,Clauncher,Hypno
37752,Snivy,Silcoon,Snivy
37753,Lillipup,Smeargle,Smeargle
37754,Deoxys Defense Form,Kabuto,Deoxys Defense Form
37755,Illumise,Drifblim,Illumise
37756,Braviary,Throh,Braviary
37757,Dedenne,Marill,Dedenne
37758,Rayquaza,Black Kyurem,Black Kyurem
37759,Vullaby,Mega Diancie,Mega Diancie
37760,Growlithe,Magnemite,Growlithe
37761,Chingling,Absol,Absol
37762,Escavalier,Larvesta,Larvesta
37763,Clefairy,Cloyster,Cloyster
37764,Mega Absol,Nidorino,Mega Absol
37765,Rayquaza,Landorus Therian Form,Rayquaza
37766,Sliggoo,Teddiursa,Sliggoo
37767,Kabuto,Pidove,Kabuto
37768,Amaura,Wooper,Amaura
37769,Sableye,Purugly,Purugly
37770,Psyduck,Salamence,Salamence
37771,Aipom,Nidoqueen,Aipom
37772,Aerodactyl,Oshawott,Aerodactyl
37773,Heat Rotom,Florges,Heat Rotom
37774,Piplup,Swablu,Swablu
37775,Rapidash,Lairon,Rapidash
37776,Quagsire,Geodude,Quagsire
37777,Sandslash,Pikachu,Sandslash
37778,Heatran,Binacle,Heatran
37779,Marshtomp,Mega Mewtwo X,Mega Mewtwo X
37780,Masquerain,Staryu,Staryu
37781,Goldeen,Gourgeist Large Size,Gourgeist Large Size
37782,Furret,Reshiram,Reshiram
37783,Bouffalant,Mega Charizard X,Mega Charizard X
37784,Binacle,Unfezant,Unfezant
37785,Pawniard,Piplup,Pawniard
37786,Volcanion,Skitty,Volcanion
37787,Carbink,Glalie,Glalie
37788,Pyroar,Grimer,Pyroar
37789,Dewott,Gorebyss,Dewott
37790,Shellos,Registeel,Registeel
37791,Cottonee,Roggenrola,Roggenrola
37792,Emboar,Skrelp,Emboar
37793,Seel,Octillery,Octillery
37794,Gliscor,Krokorok,Gliscor
37795,Wartortle,Donphan,Wartortle
37796,Shieldon,Cubone,Cubone
37797,Paras,Taillow,Taillow
37798,Meditite,Mega Mawile,Meditite
37799,Garbodor,Jynx,Jynx
37800,Politoed,Simisear,Simisear
37801,Palkia,Girafarig,Palkia
37802,Tyranitar,Alakazam,Tyranitar
37803,Rotom,Mega Mewtwo X,Rotom
37804,Emboar,Machoke,Emboar
37805,Granbull,Dewgong,Dewgong
37806,Dodrio,Shinx,Dodrio
37807,Sudowoodo,Mienfoo,Mienfoo
37808,Graveler,Hoopa Confined,Hoopa Confined
37809,Avalugg,Sylveon,Sylveon
37810,Virizion,Cubchoo,Virizion
37811,Venusaur,Nidoqueen,Venusaur
37812,Garchomp,Mandibuzz,Mandibuzz
37813,Dratini,Espurr,Espurr
37814,Mega Metagross,Slugma,Mega Metagross
37815,Murkrow,Shellder,Murkrow
37816,Garbodor,Huntail,Garbodor
37817,Sealeo,Diggersby,Diggersby
37818,Walrein,Kricketot,Walrein
37819,Ralts,Silcoon,Silcoon
37820,Venonat,Alakazam,Alakazam
37821,Stantler,Beldum,Stantler
37822,Mega Medicham,Emolga,Emolga
37823,Dewott,Primeape,Primeape
37824,Electrode,Venusaur,Electrode
37825,Diancie,Psyduck,Psyduck
37826,Feebas,Timburr,Timburr
37827,Klinklang,Croagunk,Klinklang
37828,Rampardos,Terrakion,Terrakion
37829,Hypno,Hitmontop,Hitmontop
37830,Aegislash Blade Form,Kyogre,Kyogre
37831,Regigigas,Koffing,Regigigas
37832,Luxray,Cobalion,Cobalion
37833,Mega Sableye,Hoopa Confined,Mega Sableye
37834,Shelgon,Nincada,Shelgon
37835,Duosion,Ledyba,Ledyba
37836,Dodrio,Pelipper,Dodrio
37837,Venomoth,Galvantula,Galvantula
37838,Boldore,Kricketot,Kricketot
37839,Tentacool,Cacnea,Cacnea
37840,Garchomp,Pumpkaboo Super Size,Garchomp
37841,Ledyba,Arcanine,Arcanine
37842,Shiftry,Mega Rayquaza,Mega Rayquaza
37843,Mega Venusaur,Tyrunt,Mega Venusaur
37844,Regice,Moltres,Moltres
37845,Sawk,Mega Gallade,Mega Gallade
37846,Masquerain,Lopunny,Lopunny
37847,Lilligant,Flabébé,Lilligant
37848,Kabutops,Ralts,Kabutops
37849,Pupitar,Slurpuff,Slurpuff
37850,Azurill,Abra,Abra
37851,Thundurus Incarnate Form,Tyrantrum,Thundurus Incarnate Form
37852,Roselia,Trapinch,Roselia
37853,Jynx,Stantler,Jynx
37854,Mega Salamence,Misdreavus,Mega Salamence
37855,Munna,Cryogonal,Cryogonal
37856,Luxio,Cacnea,Luxio
37857,White Kyurem,Rayquaza,Rayquaza
37858,Petilil,Yamask,Yamask
37859,Ninjask,Yveltal,Ninjask
37860,Fraxure,Unown,Fraxure
37861,Mismagius,Linoone,Linoone
37862,Feebas,Mega Absol,Mega Absol
37863,Hoothoot,Black Kyurem,Black Kyurem
37864,Meditite,Rufflet,Rufflet
37865,Roggenrola,Hippopotas,Hippopotas
37866,Linoone,Lickitung,Linoone
37867,Lairon,Spheal,Lairon
37868,Krookodile,Yamask,Krookodile
37869,Sableye,Vileplume,Vileplume
37870,Gyarados,Machoke,Gyarados
37871,Dragonite,Seviper,Dragonite
37872,Typhlosion,Foongus,Typhlosion
37873,Registeel,Croagunk,Croagunk
37874,Cascoon,Rampardos,Rampardos
37875,Heracross,Volcanion,Heracross
37876,Sharpedo,Thundurus Therian Form,Thundurus Therian Form
37877,Scizor,Sneasel,Scizor
37878,Beartic,Wailmer,Wailmer
37879,Munchlax,Mega Gyarados,Mega Gyarados
37880,Miltank,Chingling,Miltank
37881,Mega Aerodactyl,Combee,Mega Aerodactyl
37882,Gorebyss,Hawlucha,Hawlucha
37883,Ferrothorn,Delibird,Ferrothorn
37884,Mega Sharpedo,Plusle,Mega Sharpedo
37885,Psyduck,Hippowdon,Psyduck
37886,Nuzleaf,Umbreon,Umbreon
37887,Finneon,Anorith,Anorith
37888,Skorupi,Cinccino,Cinccino
37889,Machop,Snivy,Snivy
37890,Mr. Mime,Heracross,Mr. Mime
37891,Quagsire,Cacnea,Cacnea
37892,Jigglypuff,Toxicroak,Toxicroak
37893,Golbat,Mega Steelix,Mega Steelix
37894,Vaporeon,Azumarill,Vaporeon
37895,Heatmor,Porygon-Z,Porygon-Z
37896,Bellsprout,Hawlucha,Hawlucha
37897,Tyranitar,Swoobat,Swoobat
37898,Kyurem,Flygon,Flygon
37899,Sealeo,Mothim,Mothim
37900,Mega Diancie,Mega Glalie,Mega Diancie
37901,Rapidash,Azumarill,Rapidash
37902,Keldeo Resolute Form,Vigoroth,Keldeo Resolute Form
37903,Mega Swampert,Suicune,Suicune
37904,Corphish,Scraggy,Scraggy
37905,Flareon,Linoone,Linoone
37906,Meloetta Aria Form,Dusclops,Dusclops
37907,Sharpedo,Machamp,Sharpedo
37908,Dustox,Solrock,Solrock
37909,Blitzle,Audino,Blitzle
37910,Cleffa,Furfrou,Furfrou
37911,Simipour,Ekans,Simipour
37912,Tepig,Vespiquen,Tepig
37913,Malamar,Lunatone,Malamar
37914,Teddiursa,Sandslash,Sandslash
37915,Qwilfish,Charizard,Charizard
37916,Carnivine,Swampert,Swampert
37917,Dustox,Poochyena,Dustox
37918,Porygon-Z,Cinccino,Cinccino
37919,Spoink,Charmander,Charmander
37920,Gliscor,Carnivine,Gliscor
37921,Dragonair,Sneasel,Sneasel
37922,Togepi,Medicham,Medicham
37923,Magby,Giratina Origin Form,Giratina Origin Form
37924,Basculin White-Striped Form,Lapras,Basculin White-Striped Form
37925,Chespin,Dustox,Dustox
37926,Skuntank,Excadrill,Excadrill
37927,Magby,Excadrill,Excadrill
37928,Mega Salamence,Mega Beedrill,Mega Beedrill
37929,Swoobat,Pangoro,Swoobat
37930,Kabutops,Whiscash,Kabutops
37931,Vanillite,Golbat,Golbat
37932,Swadloon,Pidove,Pidove
37933,Pansage,Machop,Pansage
37934,Phanpy,Meloetta Aria Form,Meloetta Aria Form
37935,Spiritomb,Mandibuzz,Mandibuzz
37936,White Kyurem,Mega Gallade,Mega Gallade
37937,Kingler,Vanillite,Kingler
37938,Salamence,Mankey,Salamence
37939,Carbink,Seel,Carbink
37940,Remoraid,Lombre,Remoraid
37941,Chespin,Eelektross,Eelektross
37942,Mega Lucario,Mienfoo,Mega Lucario
37943,Rattata,Mega Aerodactyl,Mega Aerodactyl
37944,Primal Kyogre,Vespiquen,Primal Kyogre
37945,Elgyem,Barboach,Barboach
37946,Bunnelby,Golbat,Golbat
37947,Darkrai,Heatran,Darkrai
37948,Remoraid,Ludicolo,Ludicolo
37949,Hitmonchan,Doduo,Hitmonchan
37950,Accelgor,Solosis,Accelgor
37951,Phantump,Virizion,Virizion
37952,Gigalith,Beldum,Beldum
37953,Lucario,Mega Venusaur,Lucario
37954,Slurpuff,Emolga,Emolga
37955,Heat Rotom,Pachirisu,Pachirisu
37956,Sliggoo,Wurmple,Sliggoo
37957,Wormadam Trash Cloak,Kyogre,Kyogre
37958,Ferroseed,Nuzleaf,Nuzleaf
37959,Marowak,Pumpkaboo Super Size,Marowak
37960,Mega Absol,Buneary,Mega Absol
37961,Dewgong,Staravia,Staravia
37962,Salamence,Cloyster,Salamence
37963,Sandslash,Palpitoad,Palpitoad
37964,Mesprit,Chansey,Mesprit
37965,Scizor,Seaking,Seaking
37966,Pichu,Relicanth,Pichu
37967,Woobat,Oshawott,Woobat
37968,Mega Houndoom,Venusaur,Mega Houndoom
37969,Smoochum,Lunatone,Lunatone
37970,Mr. Mime,Deoxys Normal Form,Deoxys Normal Form
37971,Meloetta Pirouette Form,Torterra,Meloetta Pirouette Form
37972,Infernape,Seadra,Infernape
37973,Mightyena,Cloyster,Cloyster
37974,Zygarde 50% Form,Mega Alakazam,Mega Alakazam
37975,Elekid,Monferno,Elekid
37976,Misdreavus,Parasect,Misdreavus
37977,Shuppet,Golett,Golett
37978,Dragonite,Amoonguss,Dragonite
37979,Swinub,Mega Charizard Y,Mega Charizard Y
37980,Heatran,Rhyperior,Heatran
37981,Tyrogue,Hitmontop,Hitmontop
37982,Pumpkaboo Super Size,Nidorino,Nidorino
37983,Gastrodon,Snubbull,Gastrodon
37984,Greninja,Cleffa,Greninja
37985,Gigalith,Delcatty,Gigalith
37986,Corsola,Stantler,Stantler
37987,Mega Garchomp,Exeggcute,Mega Garchomp
37988,Vileplume,Togekiss,Togekiss
37989,Registeel,Drifloon,Drifloon
37990,Gourgeist Average Size,Hippowdon,Gourgeist Average Size
37991,Banette,Nidoqueen,Nidoqueen
37992,Gigalith,Sawk,Sawk
37993,Musharna,Archen,Archen
37994,Sunkern,Scolipede,Scolipede
37995,Deoxys Defense Form,Lunatone,Deoxys Defense Form
37996,Sharpedo,Floette,Sharpedo
37997,Scyther,Magcargo,Scyther
37998,Munna,Bagon,Bagon
37999,Kangaskhan,Bastiodon,Bastiodon
38000,Caterpie,Aromatisse,Aromatisse
38001,Bisharp,Whiscash,Bisharp
38002,Scyther,Nidorina,Scyther
38003,Mandibuzz,Gallade,Gallade
38004,Corsola,Farfetch'd,Farfetch'd
38005,Spinda,Mega Altaria,Mega Altaria
38006,Klefki,Qwilfish,Qwilfish
38007,Koffing,Marowak,Marowak
38008,Dedenne,Tirtouga,Dedenne
38009,Timburr,Leafeon,Leafeon
38010,Latias,Cacturne,Cacturne
38011,Bronzong,Mega Gyarados,Mega Gyarados
38012,Magmar,Exploud,Magmar
38013,Totodile,Minccino,Minccino
38014,Electrike,Exeggcute,Electrike
38015,Shiftry,Pidgeotto,Shiftry
38016,Dusknoir,Noibat,Noibat
38017,Roserade,Masquerain,Roserade
38018,Mesprit,Wobbuffet,Mesprit
38019,Yanma,Fletchinder,Yanma
38020,Mothim,Regigigas,Regigigas
38021,Ekans,Dragalge,Ekans
38022,Samurott,Dewgong,Dewgong
38023,Plusle,Lickitung,Plusle
38024,Chikorita,Thundurus Incarnate Form,Thundurus Incarnate Form
38025,Sunkern,Combee,Combee
38026,Panpour,Grimer,Panpour
38027,Ledian,Frillish,Ledian
38028,Golem,Zygarde 50% Form,Zygarde 50% Form
38029,Pidgeotto,Cresselia,Cresselia
38030,Sigilyph,Clamperl,Sigilyph
38031,Skiploom,Onix,Skiploom
38032,Metang,Magcargo,Metang
38033,Mega Sableye,Crobat,Crobat
38034,Slakoth,Toxicroak,Toxicroak
38035,Swanna,Mega Mewtwo Y,Mega Mewtwo Y
38036,Mienfoo,Mawile,Mienfoo
38037,Mega Aggron,Piplup,Mega Aggron
38038,Toxicroak,Kricketune,Toxicroak
38039,Giratina Altered Form,Simisage,Simisage
38040,Mega Charizard X,Spearow,Mega Charizard X
38041,Heatran,Mega Steelix,Heatran
38042,Lapras,Kecleon,Lapras
38043,Archen,Doduo,Doduo
38044,Darumaka,Rhyperior,Darumaka
38045,Honedge,Petilil,Petilil
38046,Krookodile,Flareon,Krookodile
38047,Zekrom,Seedot,Zekrom
38048,Azelf,Panpour,Azelf
38049,Lotad,Shroomish,Shroomish
38050,Dunsparce,Chesnaught,Chesnaught
38051,Sentret,Smoochum,Smoochum
38052,Spiritomb,Delphox,Spiritomb
38053,Sunflora,Bayleef,Bayleef
38054,Chespin,Frost Rotom,Frost Rotom
38055,Houndoom,Fearow,Fearow
38056,Baltoy,Tentacool,Tentacool
38057,Skuntank,Zweilous,Skuntank
38058,Samurott,Gulpin,Samurott
38059,Wobbuffet,Electabuzz,Electabuzz
38060,Solosis,Gardevoir,Gardevoir
38061,Chespin,Duosion,Chespin
38062,Nidoking,Zoroark,Zoroark
38063,Cacnea,Lampent,Lampent
38064,Skorupi,Frogadier,Frogadier
38065,Florges,Skorupi,Florges
38066,Muk,Keldeo Ordinary Form,Keldeo Ordinary Form
38067,Oddish,Zangoose,Zangoose
38068,Hoothoot,Mega Mewtwo X,Mega Mewtwo X
38069,Illumise,Wormadam Plant Cloak,Illumise
38070,Lopunny,Kadabra,Kadabra
38071,Cofagrigus,Zangoose,Zangoose
38072,Ferroseed,Mega Aerodactyl,Mega Aerodactyl
38073,Metang,Mega Sceptile,Mega Sceptile
38074,Slowbro,Sunkern,Sunkern
38075,Clawitzer,Dialga,Dialga
38076,Bidoof,Mega Tyranitar,Mega Tyranitar
38077,Wormadam Trash Cloak,Mega Venusaur,Wormadam Trash Cloak
38078,Garbodor,Azumarill,Garbodor
38079,Bulbasaur,Starmie,Starmie
38080,Ho-oh,Chespin,Ho-oh
38081,Burmy Plant Cloak,Lumineon,Lumineon
38082,Dewgong,Donphan,Dewgong
38083,Houndour,Sharpedo,Sharpedo
38084,Litleo,Scolipede,Scolipede
38085,Clamperl,Aerodactyl,Aerodactyl
38086,Meowstic Female,Swinub,Meowstic Female
38087,Tentacruel,Gliscor,Tentacruel
38088,Beautifly,Hypno,Hypno
38089,Heat Rotom,Kirlia,Heat Rotom
38090,Mega Lopunny,Prinplup,Mega Lopunny
38091,Flygon,Pansage,Flygon
38092,Black Kyurem,Gliscor,Gliscor
38093,Mega Blastoise,Pumpkaboo Super Size,Mega Blastoise
38094,Joltik,Grotle,Joltik
38095,Koffing,Bergmite,Koffing
